N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation,Individual Views
1,1000,3,3,0.000449419,0.009200705,42.37916136,5.144536495,0.607772112,0.00538862,0.000713587,13.44774628
2,1000,3,3,0.000438008,0.008044888,41.95798373,5.111767769,0.610758066,0.005306351,0.000718355,13.33070612
3,1000,3,3,0.000442743,0.008059276,42.24705029,5.197747946,0.594442844,0.005341185,0.000721216,14.00740218
4,1000,3,3,0.000444174,0.007993016,42.11222386,5.175525904,0.591157675,0.005240726,0.000709057,13.60139346
5,1000,3,3,0.000443459,0.008049025,42.36855388,5.148849249,0.595349789,0.005346,0.000708342,13.67199206
6,1000,3,3,0.000445127,0.008027788,42.77218461,5.169916868,0.638255358,0.005513209,0.000712872,13.58630395
7,1000,3,3,0.000447989,0.008027346,41.79619503,5.219483376,0.747613907,0.005272373,0.000711441,13.33847642
8,1000,3,3,0.000451088,0.008259219,41.7355206,6.438860655,0.8362391,0.006092079,0.000712395,15.1920495
9,1000,3,3,0.000448227,0.010994169,42.20245385,5.977038145,0.701326609,0.005811817,0.001352787,14.86039686
10,1000,3,3,0.000437737,0.008659502,42.48174882,6.056510448,0.646540165,0.005876564,0.000706434,15.87122321
11,10000,3,3,0.000449657,0.008935959,1514.737399,32.28578305,8.44273591,0.029643492,0.000756741,233.428005
12,10000,3,3,0.000448704,0.008920778,1552.728022,35.86365342,10.84377646,0.031488102,0.000769377,267.2283661
13,10000,3,3,0.000457287,0.009291027,1557.391613,33.51617289,8.948950768,0.032993956,0.000771046,269.5004625
14,100000,3,3,0.000489798,0.019838497,6846.342453,1096.456274,15.37583745,0.374285753,0.000647383,3641.748378
15,100000,3,3,0.000476432,0.015693835,6931.837469,1091.830235,12.45632588,0.345032783,0.000692042,3429.289525
16,100000,3,3,0.000478741,0.012507548,6882.520581,1088.673921,14.25753562,0.332869252,0.000682082,3423.435124
1,50,3,3,0.000444651,0.008750978,1.610769033,0.662990332,0.024060965,0.001006732,0.000791073,0.425323963
2,50,3,3,0.000467062,0.009077792,1.32722044,0.544090033,0.023151159,0.00100575,0.001252174,0.484701633
3,50,3,3,0.000443697,0.008775225,1.324837208,0.549884319,0.023110151,0.001015544,0.000783205,0.40345645
4,50,3,3,0.000468731,0.008562136,1.343559027,0.552642822,0.023180246,0.001002421,0.000783205,0.40190053
5,50,3,3,0.000495195,0.009022903,1.331180811,0.55319047,0.026829243,0.001087193,0.000783205,0.404804468
6,50,3,3,0.000641823,0.008985481,1.342473507,0.531353712,0.023223639,0.001003423,0.000793457,0.418056011
7,50,3,3,0.000446796,0.009040055,1.365285873,0.5367167,0.022891283,0.000997276,0.000808716,0.446341515
8,50,3,3,0.000505686,0.009112349,1.346011877,0.546792746,0.023627281,0.001005712,0.001187325,0.417202711
9,50,3,3,0.000442505,0.008924932,1.324909687,0.550584078,0.022925377,0.001001987,0.000795841,0.403560877
10,50,3,3,0.000534534,0.008742328,1.328320265,0.538822651,0.028517723,0.001100988,0.000784159,0.410149574
11,50,3,3,0.000447035,0.009056854,1.393241882,0.52791357,0.023359299,0.001024485,0.000778198,0.422749043
12,50,3,3,0.000453234,0.009118414,1.353259325,0.534111977,0.023233414,0.001048675,0.000875235,0.427429199
13,50,3,3,0.000460863,0.008740745,1.326388597,0.626536846,0.023224831,0.001009235,0.000794649,0.410023212
14,50,3,3,0.000444412,0.008579502,1.320369482,0.546880484,0.023322344,0.001023865,0.000806808,0.403708458
15,50,3,3,0.000517845,0.008591056,1.320866585,0.542756796,0.026345968,0.001061521,0.000787258,0.408983469
16,50,3,3,0.000463009,0.00929081,1.369512558,0.531672239,0.024264574,0.001054087,0.000796795,0.437001467
17,50,3,3,0.000473499,0.009099236,1.331280708,0.610842466,0.023082972,0.00105217,0.000820398,0.421317816
18,50,3,3,0.000448465,0.008894196,1.319644451,0.545307636,0.023532867,0.001004286,0.000786543,0.403943062
19,50,3,3,0.000448465,0.008639202,1.330873251,0.545271397,0.023139715,0.00100831,0.000787735,0.408602715
20,50,3,3,0.000473261,0.009072113,1.338661432,0.625901937,0.03387928,0.001105475,0.000791311,0.407398224
21,50,3,3,0.000686646,0.008787346,1.676487923,0.555580378,0.023322582,0.001021996,0.001066685,0.415613174
22,50,3,3,0.000443935,0.008754897,1.347877502,0.54416728,0.023793697,0.001022706,0.000808716,0.409050941
23,50,3,3,0.000453949,0.008610158,1.353888035,0.539117575,0.024589539,0.001109877,0.000786543,0.403553724
24,50,3,3,0.000469208,0.009075761,1.345067024,0.535464048,0.023709059,0.001089196,0.000792027,0.424067974
25,50,3,3,0.000468731,0.009327874,1.345376492,0.536534071,0.023285866,0.001004462,0.000816345,0.427030325
26,50,3,3,0.000464439,0.00881927,1.329170942,0.556162834,0.023670435,0.001016831,0.000790358,0.407941103
27,50,3,3,0.00043869,0.008736968,1.332113028,0.545193434,0.02324295,0.001014462,0.000805855,0.405134678
28,50,3,3,0.000449419,0.008636117,1.32830143,0.542103767,0.028745413,0.00120532,0.000804663,0.410788059
29,50,3,3,0.00047183,0.009071798,1.337584972,0.536800623,0.024427891,0.001060257,0.000803709,0.425122261
30,50,3,3,0.000453472,0.009127173,1.347429991,0.53916955,0.024610519,0.001051059,0.000802279,0.425357103
31,50,3,3,0.000452995,0.00879631,1.327142954,0.550424814,0.024430275,0.001072326,0.000797272,0.416282177
32,50,3,3,0.000446558,0.008614345,1.334174871,0.556573153,0.025420904,0.00106977,0.000788689,0.405906916
33,50,3,3,0.000532866,0.008658919,1.330575228,0.554111004,0.026859999,0.001177244,0.000794649,0.413131475
34,50,3,3,0.000448465,0.009056625,1.337922096,0.532415628,0.025497675,0.00105269,0.000788689,0.430107832
35,50,3,3,0.000437498,0.009105124,1.32623291,0.566042423,0.025474072,0.001074781,0.001062155,0.430823803
36,50,3,3,0.000435591,0.008688879,1.443600178,0.563904047,0.025649309,0.0010746,0.001357794,0.411825895
37,50,3,3,0.000433207,0.008608017,1.324628592,0.551258326,0.025591612,0.001057029,0.000782013,0.405386448
38,50,3,3,0.00045085,0.008647833,1.333750963,0.555495977,0.028986454,0.001195502,0.000791311,0.409788847
39,50,3,3,0.000456333,0.008893061,1.335576773,0.537399769,0.025546074,0.001189966,0.000815392,0.424410105
40,50,3,3,0.000451803,0.00956738,1.350651741,0.542451859,0.025356054,0.001102443,0.000793219,0.431040049
41,50,3,3,0.000457287,0.009237185,1.330706358,0.541312218,0.02531743,0.001058331,0.000959873,0.421809673
42,50,3,3,0.00043869,0.008815551,1.318598986,0.560823679,0.025563478,0.001064301,0.001443624,0.415512562
43,50,3,3,0.001049757,0.018488922,1.418856859,0.560365677,0.02601099,0.001092329,0.000801563,0.409231186
44,50,3,3,0.000443459,0.008695126,1.324807644,0.552611351,0.02774024,0.001139989,0.000787497,0.444403648
45,50,3,3,0.000553131,0.008914776,1.334751129,0.534731865,0.024575233,0.001045613,0.000801086,0.421344042
46,50,3,3,0.000460148,0.008989954,1.343870878,0.543296576,0.025586605,0.001071591,0.000796795,0.4261446
47,50,3,3,0.000444174,0.008987451,1.390897989,0.566107273,0.026053429,0.001107383,0.000967503,0.430349827
48,50,3,3,0.00045681,0.008784657,1.326953888,0.55634594,0.02478385,0.001110158,0.000781536,0.406998634
49,50,3,3,0.000447989,0.00864583,1.326508284,0.552260399,0.027263165,0.001093593,0.000784159,0.406186581
50,50,3,3,0.000448227,0.008807874,1.336371183,0.535611153,0.024605513,0.00111186,0.000789165,0.430984259
51,50,3,3,0.00045228,0.009184275,1.34739852,0.534388065,0.025365353,0.001078701,0.000879765,0.490309477
52,50,3,3,0.000477552,0.009289193,1.327567577,0.552404165,0.025418997,0.001064787,0.000800848,0.419822454
53,50,3,3,0.000450373,0.008783021,1.324939013,0.56940484,0.025174618,0.001081734,0.00078249,0.407728434
54,50,3,3,0.000442505,0.008608456,1.357596397,0.588945627,0.028023005,0.001067629,0.000872612,0.406181812
55,50,3,3,0.000447273,0.008660307,1.318569183,0.541718006,0.026481152,0.001124969,0.000809193,0.417918205
56,50,3,3,0.00044775,0.008930984,1.336945772,0.534146309,0.025805235,0.001055684,0.000849724,0.434240341
57,50,3,3,0.000448942,0.009231544,1.340954065,0.541677952,0.025215864,0.001073027,0.001134872,0.435891628
58,50,3,3,0.000442266,0.008754201,1.325102806,0.551842451,0.024552107,0.001062555,0.000822067,0.412086487
59,50,3,3,0.000477076,0.008728437,1.374189615,0.565852404,0.025321245,0.001083765,0.000792742,0.409941912
60,50,3,3,0.000433922,0.008596244,1.327753067,0.542405605,0.027782202,0.001157012,0.000790834,0.405719519
61,50,3,3,0.000441313,0.008975768,1.33718276,0.564476728,0.024178982,0.001063509,0.000794411,0.422846794
62,50,3,3,0.000439644,0.009089351,1.348030567,0.536649704,0.025462866,0.001058555,0.000781536,0.430337667
63,50,3,3,0.00045085,0.00877172,1.330147028,0.553759098,0.024849653,0.001043587,0.000789642,0.419504404
64,50,3,3,0.000450611,0.008634763,1.341212511,0.566653013,0.025231123,0.001084571,0.000784874,0.408419132
65,50,3,3,0.000449657,0.00856524,1.319388151,0.544176579,0.027354717,0.001196795,0.000798941,0.408859253
66,50,3,3,0.000501633,0.009004922,1.341697454,0.532444,0.024665117,0.001089501,0.000787735,0.425237417
67,50,3,3,0.000439167,0.009238706,1.384129286,0.544461489,0.025168896,0.00109179,0.000791073,0.432794809
68,50,3,3,0.000452518,0.008976912,1.338706732,0.577346563,0.025393486,0.001071167,0.000798464,0.42309165
69,50,3,3,0.000449181,0.008681054,1.333172798,0.552793741,0.025187492,0.001057959,0.000785112,0.408782721
70,50,3,3,0.000469208,0.00888196,1.352921963,0.569103479,0.025434494,0.001095462,0.000799894,0.412864685
71,50,3,3,0.000445366,0.009049926,1.335721493,0.566759348,0.025401354,0.001086774,0.000787497,0.41156745
72,50,3,3,0.000454664,0.00873312,1.345472336,0.540198326,0.027549267,0.001135092,0.000781775,0.42156601
73,50,3,3,0.000457525,0.009361796,1.337303162,0.535544634,0.026085138,0.001056399,0.000848055,0.42975378
74,50,3,3,0.000448465,0.009334383,1.345330477,0.570712328,0.025721312,0.001068149,0.00078702,0.438694954
75,50,3,3,0.000451326,0.008882365,1.33009243,0.558290243,0.025859594,0.001068554,0.000820875,0.410709143
76,50,3,3,0.00045681,0.00887125,1.326230764,0.555093765,0.024378538,0.001068478,0.000793219,0.407765627
77,50,3,3,0.000454187,0.008613591,1.331785202,0.543158531,0.02803278,0.001143446,0.000788927,0.408100367
78,50,3,3,0.000745296,0.009124084,1.344231844,0.546139479,0.026395559,0.001093307,0.000788689,0.424705982
79,50,3,3,0.000456333,0.009112186,3.043877363,0.688470602,0.025705338,0.0010958,0.000789642,0.437834263
80,50,3,3,0.00044632,0.008844452,1.325264215,0.543687344,0.025084496,0.001046324,0.001084805,0.412422657
81,50,3,3,0.000466347,0.008600044,1.323925495,0.545561075,0.024306536,0.001044722,0.000793695,0.4041996
82,50,3,3,0.000451803,0.008913555,1.31731534,0.637346745,0.025728941,0.001141162,0.000784159,0.410946369
83,50,3,3,0.000455856,0.008821011,1.373414278,0.638650656,0.050578833,0.001177731,0.000792027,0.452454567
84,50,3,3,0.000468254,0.008551321,1.329539537,0.554286242,0.025709391,0.001072021,0.000801563,0.423962355
85,50,3,3,0.00066185,0.00864089,1.315324306,0.534480095,0.027003288,0.001215763,0.000787973,0.419256926
86,50,3,3,0.000437975,0.008905859,1.334646225,0.550495148,0.025660038,0.001124368,0.000793695,0.442295313
87,50,3,3,0.000442266,0.008899021,1.325041294,0.613398314,0.024221897,0.001069245,0.000840187,0.421983957
88,50,3,3,0.000438452,0.008648558,1.312523127,0.552651644,0.026428461,0.001065364,0.000889301,0.408608675
89,50,3,3,0.000451565,0.008709965,1.317138433,0.549091816,0.026438951,0.001142769,0.000777721,0.418344259
90,50,3,3,0.000448465,0.008744783,1.317800522,0.533924818,0.025987387,0.001135774,0.000776291,0.420634031
91,50,3,3,0.000433207,0.008878856,1.318643093,0.533949614,0.027352571,0.001051159,0.00078392,0.422128439
92,50,3,3,0.00045085,0.008801041,1.354161024,0.552363634,0.025598288,0.001063619,0.000801325,0.409476042
93,50,3,3,0.000451803,0.008617644,1.321324587,0.556297064,0.024304152,0.001070023,0.000791788,0.406177282
94,50,3,3,0.000449657,0.008679147,1.318362951,0.538723469,0.026560068,0.001297555,0.000783205,0.411799431
95,50,3,3,0.000446081,0.008837662,1.340172291,0.535989761,0.027187347,0.001081762,0.000789404,0.421075344
96,50,3,3,0.000441551,0.009114022,1.331870079,0.536020517,0.024751186,0.001052599,0.000834703,0.419280767
97,50,3,3,0.000435591,0.008727899,1.320060253,0.54852891,0.025183916,0.00113297,0.000786304,0.420617819
98,50,3,3,0.000457048,0.008759527,1.419895887,0.565593958,0.025972366,0.001091905,0.000783443,0.411701441
99,50,3,3,0.000441074,0.008697677,1.319074392,0.539692163,0.026863337,0.001124821,0.000819921,0.410583496
100,50,3,3,0.00048399,0.008776894,1.328926802,0.544570923,0.024786234,0.001037011,0.000794172,0.432179213
101,100,3,3,0.000449657,0.008765028,2.695254564,0.977953911,0.046481609,0.001383498,0.000778913,0.827549696
102,100,3,3,0.000459433,0.008788524,2.793868303,1.000104904,0.052706003,0.001331213,0.000785112,0.890351534
103,100,3,3,0.000468969,0.009276912,3.657856464,1.159887791,0.083213091,0.001537979,0.000796556,0.890144825
104,100,3,3,0.000456333,0.008854203,3.267548323,1.06103754,0.06851244,0.001897659,0.00082469,1.001519203
105,100,3,3,0.000519514,0.009853284,2.934596777,1.057208538,0.047100306,0.001256676,0.000853777,0.887511492
106,100,3,3,0.000443935,0.009489875,2.691550732,1.023819685,0.067798615,0.001593847,0.000838518,1.440813065
107,100,3,3,0.000454903,0.011119366,3.942732334,1.402463198,0.074263334,0.001471233,0.001388788,1.045990705
108,100,3,3,0.000811338,0.00916086,3.062824011,1.360789776,0.069074869,0.00177078,0.000784874,0.99371767
109,100,3,3,0.00044179,0.009717629,4.117200375,1.239366531,0.053772926,0.001527767,0.00091815,0.880269527
110,100,3,3,0.000589848,0.012303703,3.297936201,1.0361166,0.07034421,0.001370482,0.000783682,0.868120193
111,100,3,3,0.000446796,0.010571284,3.489721775,1.177471876,0.053295851,0.001540349,0.000794411,0.935709953
112,100,3,3,0.000998259,0.011045182,3.233534575,1.222881317,0.05163312,0.001461499,0.000810146,0.878979921
113,100,3,3,0.000440121,0.008954856,3.003747463,1.086326361,0.050732613,0.001482799,0.000785589,0.877516747
114,100,3,3,0.000460386,0.010126905,2.905861378,1.049116611,0.052977324,0.001302502,0.000824213,0.913199425
115,100,3,3,0.000466824,0.009743626,3.383208036,1.126096725,0.054338932,0.001291544,0.00079155,0.862081766
116,100,3,3,0.000450611,0.008717206,4.163095474,1.257675648,0.05085206,0.001288924,0.000785112,0.889328957
117,100,3,3,0.000451565,0.008929894,3.13394475,1.255636454,0.051395178,0.001284254,0.000792503,0.904863119
118,100,3,3,0.000457048,0.009425635,2.888521671,1.067865133,0.064869404,0.001578205,0.000788927,0.946096897
119,100,3,3,0.000475645,0.011530094,3.244676828,1.532773972,0.055022955,0.001284211,0.000802517,0.856911898
120,100,3,3,0.000435352,0.009221861,4.401252985,1.458300829,0.091206074,0.001438868,0.000787735,0.829437256
121,100,3,3,0.000452757,0.00959094,3.808339834,1.607049704,0.057253361,0.001322846,0.001625061,0.977548122
122,100,3,3,0.000444174,0.009243433,2.860742092,1.042912722,0.053469658,0.00135056,0.000794172,0.878194809
123,100,3,3,0.000442982,0.008857572,2.767517567,1.051255226,0.052545547,0.001318319,0.000791311,0.856589079
124,100,3,3,0.000451088,0.008993719,2.829131365,1.24513483,0.0524652,0.001351271,0.000789881,0.897862196
125,100,3,3,0.000451088,0.00975045,2.826620579,1.084465027,0.054693699,0.001317728,0.000782728,0.917258024
126,100,3,3,0.000546694,0.008897395,2.816109419,1.049947977,0.05176568,0.001403997,0.000794411,0.86805439
127,100,3,3,0.000447035,0.008852391,3.55534029,1.179008007,0.052141428,0.001674705,0.000788212,0.928214073
128,100,3,3,0.000453472,0.008949754,2.742598057,1.098638296,0.066880703,0.001369185,0.000791788,0.864269495
129,100,3,3,0.000513315,0.009241066,3.524511814,1.165385008,0.061804771,0.001375816,0.000816345,0.857715607
130,100,3,3,0.000439882,0.008861425,3.022347212,1.120922327,0.053030491,0.001531665,0.000970125,0.847508669
131,100,3,3,0.000459909,0.008873074,2.830331564,1.065349102,0.052279711,0.001288943,0.00080514,0.905721426
132,100,3,3,0.000455618,0.009251809,2.932363749,1.473673344,0.061570644,0.001355052,0.000791311,1.015888691
133,100,3,3,0.000885725,0.009973669,2.795242786,1.052765369,0.05665946,0.001365254,0.001232624,0.852018595
134,100,3,3,0.000449657,0.009315047,2.828819275,1.051139593,0.052922964,0.001299274,0.000786543,0.981990099
135,100,3,3,0.000453949,0.008892322,2.78167367,1.05927062,0.056146383,0.001343048,0.000789881,0.848471642
136,100,3,3,0.000454426,0.009618161,2.82901454,1.09506464,0.051261902,0.001309853,0.000899076,0.868187666
137,100,3,3,0.000472069,0.009311061,2.781446218,1.126330376,0.057267904,0.00132724,0.000798702,0.868373394
138,100,3,3,0.000445843,0.008927794,3.472375631,1.359190941,0.050266743,0.001282248,0.001061916,0.85605216
139,100,3,3,0.00078702,0.009045863,2.796088457,1.075480461,0.05933094,0.001463044,0.00101757,0.890017271
140,100,3,3,0.000717402,0.010231917,2.934299707,1.114355326,0.056503057,0.001687455,0.000794888,0.865010977
141,100,3,3,0.000440121,0.009098406,2.767426014,1.040989876,0.05154109,0.001300683,0.00083375,0.887122154
142,100,3,3,0.000449181,0.008987367,2.798597336,1.142148018,0.058357,0.001488638,0.000791788,0.844614983
143,100,3,3,0.000455141,0.008848639,2.912929773,1.078803301,0.059924126,0.001323547,0.001112223,0.903424263
144,100,3,3,0.000454426,0.010112386,2.775753498,1.065267801,0.059314966,0.001655726,0.00084734,0.867635489
145,100,3,3,0.000459671,0.008968537,2.843156099,1.082839251,0.054224253,0.001298048,0.000813246,0.890756845
146,100,3,3,0.000452757,0.008809092,2.804171801,1.036726713,0.059313059,0.001454091,0.000791311,0.845939636
147,100,3,3,0.000535965,0.009136484,2.79480052,1.167434216,0.065204382,0.001560123,0.000851154,0.889278889
148,100,3,3,0.000491619,0.00913795,2.717401743,1.16455555,0.060730696,0.001347592,0.000970364,0.850681543
149,100,3,3,0.000437737,0.009056041,2.733258963,1.063701391,0.051762819,0.001302245,0.000787735,0.863720417
150,100,3,3,0.000463009,0.009388492,3.02136898,1.083371401,0.053460121,0.001330178,0.000805855,0.858191729
151,100,3,3,0.000486612,0.008990252,2.742707491,1.04102993,0.051899195,0.001306186,0.000788212,0.863862991
152,100,3,3,0.000454426,0.010343549,3.024695158,1.120656013,0.067338943,0.001387737,0.000884771,0.871137619
153,100,3,3,0.000471115,0.009226291,2.818072081,1.248189449,0.05600071,0.001350982,0.000851631,0.90739584
154,100,3,3,0.000482798,0.00925236,2.796591997,1.436579943,0.112724543,0.003342695,0.000794172,1.110576153
155,100,3,3,0.000484943,0.009282095,2.895239115,1.050830126,0.052423716,0.001307814,0.001111269,0.984585762
156,100,3,3,0.000668764,0.011693258,2.903601646,1.130610943,0.06242466,0.001423092,0.000869513,0.91711092
157,100,3,3,0.000468969,0.00954138,2.956417084,1.403871298,0.067705393,0.001637237,0.001018286,0.970559359
158,100,3,3,0.000487328,0.010575194,4.118612051,1.207904577,0.051771164,0.001281815,0.000796795,0.847129822
159,100,3,3,0.000517607,0.008807154,2.697666407,1.030606508,0.051908493,0.001348772,0.00078702,0.83829999
160,100,3,3,0.000442982,0.008785143,2.850891829,1.296601295,0.050595999,0.001270061,0.000788212,0.839662552
161,100,3,3,0.000439167,0.008759489,2.715005636,1.068457842,0.051410675,0.001280963,0.000787258,0.852119207
162,100,3,3,0.00045085,0.008679497,2.667663097,1.040225267,0.056741953,0.001415279,0.000983238,0.923274755
163,100,3,3,0.001261711,0.010587032,2.740377665,1.022945881,0.050964832,0.001290495,0.000788212,0.842071056
164,100,3,3,0.000770807,0.008746336,2.765630484,1.671862125,0.095923901,0.001333969,0.001449823,1.001874447
165,100,3,3,0.001621962,0.011925635,3.677321911,1.949534655,0.055202961,0.002457831,0.001224041,1.158912897
166,100,3,3,0.000461578,0.009981983,2.752899408,1.033061028,0.051385164,0.001514187,0.000786304,0.883705378
167,100,3,3,0.000468969,0.008802466,2.717138052,1.023626804,0.051373482,0.001295488,0.000801086,0.845767498
168,100,3,3,0.000459194,0.008659704,3.114453077,1.025210381,0.052304029,0.001318078,0.000797033,0.851556301
169,100,3,3,0.000444651,0.008729861,2.699809313,1.031631231,0.051752567,0.001298873,0.000779867,0.846613169
170,100,3,3,0.000553846,0.008624597,2.679037809,1.033064842,0.051555157,0.001289079,0.000798702,0.850973845
171,100,3,3,0.000435829,0.008787572,2.674304485,1.026701927,0.061131954,0.001429186,0.000834942,0.831342936
172,100,3,3,0.000442266,0.008839374,2.707334042,1.016826153,0.05213213,0.001315529,0.000790596,0.848363876
173,100,3,3,0.000449419,0.008760302,2.716846228,1.13362813,0.051422119,0.001279054,0.00103116,0.854110479
174,100,3,3,0.000487804,0.008695569,2.688561916,1.039619446,0.05474925,0.00130199,0.00079155,0.846384287
175,100,3,3,0.000444412,0.008923724,2.684305429,1.031784773,0.058962107,0.001383874,0.000834942,0.842455626
176,100,3,3,0.000461578,0.008855922,2.700327396,1.01907444,0.052387238,0.001312711,0.000795603,0.838860035
177,100,3,3,0.000436306,0.008801038,2.705534458,1.024891615,0.051285982,0.001286221,0.000799417,0.841996431
178,100,3,3,0.000459433,0.008793521,2.688225269,1.021266699,0.051025152,0.001292958,0.000786543,0.847260714
179,100,3,3,0.000451088,0.008766661,2.683497906,1.02415061,0.053739548,0.001407194,0.001420021,0.843324661
180,100,3,3,0.000456572,0.008802016,2.815010309,1.414685965,0.052433968,0.001306467,0.000784397,0.91082859
181,100,3,3,0.000442505,0.008841317,5.027415514,1.122833252,0.052814007,0.001320536,0.000795841,0.85814929
182,100,3,3,0.000468493,0.008897877,2.691955328,1.021788836,0.052489519,0.001303999,0.000789404,0.876538754
183,100,3,3,0.0004673,0.00896229,2.685638905,1.031067848,0.055515051,0.001373031,0.000922203,0.836403131
184,100,3,3,0.000444651,0.008744025,2.674538851,1.008009434,0.056180954,0.00129992,0.000840902,0.837328672
185,100,3,3,0.00045085,0.008967755,3.306682587,1.300982952,0.053219557,0.001315806,0.000787973,0.852242708
186,100,3,3,0.000456572,0.008897979,2.73441267,1.058124542,0.051604509,0.001276219,0.000786781,0.860320568
187,100,3,3,0.000449419,0.008836195,2.919390917,1.03510499,0.059520245,0.001386733,0.00080204,0.840697289
188,100,3,3,0.000483036,0.009386616,2.683080673,1.016298294,0.051083565,0.001294725,0.000792742,0.845384836
189,100,3,3,0.000454187,0.008850267,2.70790267,1.112769127,0.052201033,0.00129045,0.000783682,0.852115393
190,100,3,3,0.00044632,0.008677137,2.682926893,1.017016649,0.051556826,0.001344986,0.000788212,0.839150667
191,100,3,3,0.000500441,0.008811543,2.686702728,1.027646065,0.057811499,0.001319385,0.000793934,0.845465899
192,100,3,3,0.000462055,0.008770316,2.695002079,1.393017292,0.051742792,0.001293011,0.000819921,0.841607332
